ngw1.eastman.com - - [03/Aug/1995:12:42:07 -0400] "GET /cgi-bin/imagemap/countdown70?70,155 HTTP/1.0" 302 111
oahu-12.u.aloha.net - - [03/Aug/1995:12:42:07 -0400] "GET /shuttle/technology/sts-newsref/sts-subs.html HTTP/1.0" 200 75296
emngw1.eastman.com - - [03/Aug/1995:12:42:08 -0400] "GET /shuttle/missions/sts-70/mission-sts-70.html HTTP/1.0" 200 20249
155.78.20.20 - - [03/Aug/1995:12:42:08 -0400] "GET /images/MOSAIC-logosmall.gif HTTP/1.0" 200 363
163.205.26.44 - - [03/Aug/1995:12:42:08 -0400] "GET /ksc.html HTTP/1.0" 200 7280
192.239.52.252 - - [03/Aug/1995:12:42:08 -0400] "GET /images/USA-logosmall.gif HTTP/1.0" 200 234
emngw1.eastman.com - - [03/Aug/1995:12:42:09 -0400] "GET /shuttle/missions/sts-70/sts-70-patch-small.gif HTTP/1.0" 200 5978
boydc.pgh.wec.com - - [03/Aug/1995:12:42:09 -0400] "GET /images/MOSAIC-logosmall.gif HTTP/1.0" 200 363
192.239.52.252 - - [03/Aug/1995:12:42:09 -0400] "GET /images/WORLD-logosmall.gif HTTP/1.0" 200 669
karma.mtl.kyoto-u.ac.jp - - [03/Aug/1995:12:42:10 -0400] "GET /images/lps.gif HTTP/1.0" 200 327381
155.78.20.20 - - [03/Aug/1995:12:42:10 -0400] "GET /images/USA-logosmall.gif HTTP/1.0" 200 234
emngw1.eastman.com - - [03/Aug/1995:12:42:10 -0400] "GET /images/launch-logo.gif HTTP/1.0" 200 1713
emngw1.eastman.com - - [03/Aug/1995:12:42:10 -0400] "GET /history/apollo/images/apollo-logo1.gif HTTP/1.0" 200 1173
hutspa.pha.jhu.edu - - [03/Aug/1995:12:42:10 -0400] "GET /shuttle/missions/sts-35/mission-sts-35.html HTTP/1.0" 200 11905
163.205.26.44 - - [03/Aug/1995:12:42:10 -0400] "GET /images/ksclogo-medium.gif HTTP/1.0" 200 5866
155.78.20.20 - - [03/Aug/1995:12:42:12 -0400] "GET /images/WORLD-logosmall.gif HTTP/1.0" 200 669
ccallahan.earthlink.net - - [03/Aug/1995:12:42:12 -0400] "GET /shuttle/missions/sts-70/images/KSC-95EC-1056.jpg HTTP/1.0" 200 73728
gate.chips.ibm.com - - [03/Aug/1995:12:42:14 -0400] "GET /shuttle/missions/sts-70/images/KSC-95EC-0999.gif HTTP/1.0" 200 30505
163.205.26.44 - - [03/Aug/1995:12:42:14 -0400] "GET /images/NASA-logosmall.gif HTTP/1.0" 200 786
163.205.26.44 - - [03/Aug/1995:12:42:15 -0400] "GET /images/MOSAIC-logosmall.gif HTTP/1.0" 200 363
